link,titulo,autor,pubdate,descrip,imagen,video
http://www.blackseagrain.net/novosti/india-raised-vegoil-import-duties,India raised vegoil import duties,,,"On June 14, the Indian government raised the rates of current import duties for vegoils as follows:

- refined soybean oil – from 30% to 35%;

- unrefined sunflower and rape oils – from 25% to 35%;

- refined sunflower, rape, soybean oils – from 35% to 45%.

India is the largest end market for Ukrainian sunoil. In MY 2016/17, this country absorbed roughly 2 MMT of Ukrainian sunoil (35% of its total exports), UkrAgroConsult’s analysts note.

India’s share expanded to 47% this season. Ukrainian sunoil exports to India gained 25% in September-May 2017/18 against the same period last season (1.91 MMT and 1.53 MMT, respectively).

The increase in import duties for vegoils may adversely impact both sunoil exports from Ukraine to India and prices for this product.

Ukraine sold some USD 1.5 Ml worth of sunoil this year

According to the State Fiscal Service of Ukraine, January-April 2018 exports of sunflower, safflower, and cotton oils totaled 1994.9 KMT to an amount of USD 1498.7 Ml. Sunflower oil imports were at 549 MT worth USD 534,000, reports UkrAgroConsult.

Soybean oil: exports at 81.3 KMT to an amount of USD 61.1 Ml, imports at 8 MT to an amount of USD 10,000.

Exports of rape and mustard oils totaled 1.6 KMT, worth USD 1.3 Ml. Rape oil imports were at 468 MT to an amount of USD 534,000.

Palm oil: imports at 67.3 KMT to an amount of USD 50.8 Ml, exports at 916 MT to an amount of USD 819,000.

More detailed information on the latest trends in oilseeds/vegoils/meals exports, palm oil imports, supply and demand balances with breakdown by crop as well as crop conditions and progress in planting in the countries of Black Sea Region is available to subscribers for weekly market report ""Black Sea Vegoils"" by UkrAgroConsult.

Further prospects of the Black Sea oilseeds/vegoils market will be discussed at the VI International Conference “Black Sea Oil Trade”, which will take place on September 20, 2018 in Hilton hotel, Kiev, Ukraine.",http://www.blackseagrain.net/foto/vegoil/rastitielnoie%20maslo.png/image_large,
http://www.petromindo.com,Petromindo.com,,,"PLN has signed power supply deals of 605 MW for smelter projects

Government to add 9GW renewable energy-based power plants by 2024

PLN, Tax Office sign MoU on taxation data integration

PLN to set aside Rp22t to convert power plants into gas basis

MHPS signs MOU with ITB on joint R&D in clean energy technologies

MEMR: 10 PLTUs to be built until 2028 to use clean coal tech

PLN has started applying B-30 biodiesel program

PLN to relocate mobile power plant to in Kalimantan",https://www.petromindo.com/assets/icons/apple-touch-icon-57x57.png,
http://www.blackseagrain.net/novosti/iran-tenders-again-to-buy-60-000-tonnes-of-sugar-1,"Iran tenders again to buy 60,000 tonnes of sugar",,,When using the materials - a reference to the BlackSeaGrain site is required. When using information on the Internet - a hyperlink to the site blackseagrain.net is required. Reproduction and distribution of published information in any form by any means is prohibited without prior written consent of the copyright holder. Administration of this site may not share the opinion of the author and is not responsible for any copyright material.,http://www.blackseagrain.net/foto/sugar/image_large,
http://www.safetyandhealthmagazine.com,Safety+Health Magazine,,,We use cookies to provide you with a better experience. By continuing to browse the site you are agreeing to our use of cookies in accordance with our Privacy Policy,http://www.safetyandhealthmagazine.com/ext/resources/images/2018/04-apr/Rockford-Systems.png,
http://www.blackseagrain.net/novosti/china-slaps-anti-dumping-measures-on-brazilian-chicken,China slaps anti-dumping measures on Brazilian chicken,,,"Effective June 9, China’s Ministry of Commerce imposed temporary anti-dumping measures on Brazilian chicken meat imports. Chinese importers have to pay customs deposits ranging from 18.8% to 38.4% on purchases, according to China’s official news agency Xinhua. The measure is temporary, and a final decision will be announced in August.

China started an anti-dumping investigation related to Brazilian chicken meat in mid-2017, after complaints from the local industry that the Brazilian product was being sold below market value. Brazil exported about 391,400 tonnes of chicken meat to China in 2017, according to ABPA, Brazil’s poultry and pork meat industry association. “The anti-dumping measure is a step backwards in the good commercial relations built by Brazilians and Chinese throughout this decade, as well as in the partnership aiming at guaranteeing China’s food security,” ABPA said.",http://www.blackseagrain.net/foto/livestock/Poultry.jpg/image_large,
http://www.textileworld.com,Textile World,,,,https:///www.textileworld.com/wp-content/uploads/2015/12/favicon.ico,
http://www.blackseagrain.net/novosti/u-s-sees-rosy-outlook-for-pork-grain-exports-in-midst-of-trade-tumult,"U.S. Sees Rosy Outlook for Pork, Grain Exports in Midst of Trade Tumult",,,"The outlook for U.S. exports of pork, dairy products and grain is rosy, the Department of Agriculture said, defying trade discord with countries from Mexico to China.



Pork exports this year may rise 6.4 percent, more than forecast in May, and the 2019 gain will be 2.9 percent, the USDA said Tuesday in a monthly report. The agency cited “continued strong shipments to a number of key markets and expectations of continued pork exports to Mexico” in 2018.



Last week, Mexico imposed tariffs on some U.S. meat cuts and cheese in a response to American import taxes on steel and aluminum. “Continued strength” in U.S. shipments of fatty dairy products this year may counter the Mexican move, the USDA said.



After Mexico announced tariffs, the National Pork Producers Council said the U.S. industry is “taking on water fast” amid trade disputes, and the U.S. Dairy Export Council said the levies may “delivery a blow” to exports.



The USDA’s outlook was also positive for grain. The agency boosted the forecast for sorghum exports on demand in China, which recently scrapped an import tariff. Wheat shipments may climb as crops shrink in rival nations, and burgeoning corn demand abroad probably will cut domestic inventory, according to the report.



bloomberg",http://www.blackseagrain.net/foto/livestock/pigs/image_large,
https://creative.vic.gov.au,Creative Victoria,"Corporatename Creative Victoria,Contact Level,Exhibition St Melbourne,Phone,Email Artsvic.Webmaster Ecodev.Vic.Gov.Au",,"Audience Atlas Victoria 2019

The Atlas reports on Victorians’ appetite for arts and cultural experiences and these insights will be used to build the overall strength and sustainability of the sector",https://creative.vic.gov.au/__data/assets/file/0020/51365/favicon.ico,
http://www.blackseagrain.net/novosti/interest-in-pulse-flour-picks-up-on-global-scale,Interest in pulse flour picks up on global scale,,,"Known for being a source of protein, potassium, iron and fiber, pulses are becoming more and more popular, specifically in the form of flour. Pulse flours are popular in North America, Europe and Asia Pacific and used in snacks, batters, baked foods and high-moisture applications such as yogurt and pudding to meet clean label requirements.



Pulse flours’ rising demand has resulted in a growth in research on its nutritional benefits, use and available varieties. Future Market Insights (FMI) put together a study, “Pulse Flour Market: Global Industry Analysis 2012-2016 & Opportunity Assessment 2017 – 2026,” of its global market, which is estimated to reach about $28.8 million in revenue by the end of 2026. The study also expects pulse flour to increase at a CAGR of 10.7% between 2017 and 2026.



Leading the way in the list of pulse flours is chickpea. The FMI predicts that it will emerge as the top-selling pulse flour and bring in an estimated $10.3 billion in revenue. Chickpea flour is high in protein and carbohydrates and is used in a variety of dishes, especially in India.



Pulse flour will find its largest application in bakery and confectionery foods. The category is expected to reach approximately $11.4 billion in revenue by the end of 2026, driven by consumer demand for gluten-free products and bakeries targeting health-oriented consumers with pulse flour’s nutritional content.



Pulse flour distribution is set to lead with food chain services. And, according to the study, Asia Pacific excluding Japan will remain dominant in the market, bringing in about $14.2 billion in revenue. North American and Europe also will experience a rise in demand.



The FMI’s list of major players in the global market for pulse flours include: CanMar Grain Products, Parakh Agro Industries Ltd, Bean Growers Australia, Best Cooking Pulses, Great Western Grain, Blue Ribbon, Diefenbaker Spice & Pulse, Batory Foods, EHL Limited, Anchor Ingredients, SunOpta, The Scoular Company, ADM, and Ingredion.





world-grain",http://www.blackseagrain.net/foto/muka2.jpg/image_large,
https://dispositivosmedicos.org.mx,Representantes Oficiales de la Industria de Dispositivos Médicos.,Jorge Daniel Alarcón,,"Los dispositivos médicos son un sector rentable y en constante crecimiento a nivel mundial. En México, la industria mantiene un crecimiento sostenido e impulsa el desarrollo económico del país.

Actualmente, la fortaleza del sector, radica en la producción de insumos y México es principal exportador de disposotivos médicos para EUA y ocupa el octavo lugar a nivel mundial. Los países industrializados ya no solo apuestan por la producción, sino en la innovación de productos como su principal activo.",https://dispositivosmedicos.org.mx/wp-content/uploads/2019/03/cropped-faviconDM-1-32x32.png,
http://www.blackseagrain.net/novosti/philippines-unlikely-to-be-rice-self-sufficient-duterte,Philippines unlikely to be rice self-sufficient: Duterte,,,"The Philippines is unlikely to become self-sufficient in rice production, President Rodrigo Duterte said on Wednesday, appearing to contradict his agriculture minister who had set a 2020 target to produce enough rice to meet the country's needs.



The Southeast Asian country is a frequent buyer of rice mainly from Vietnam and Thailand, usually importing more than one million tonnes of the staple grain every year to meet domestic demand and maintain stockpiles.



Agriculture Secretary Emmanuel Piñol said last year the country could produce enough rice for its own needs by 2020 with the help of free irrigation and other state measures to boost output.



""I do not believe we can be rice sufficient,"" Duterte said in a speech to officials of state universities at the presidential palace.



""If you'd ask me, in the next how many years, we will just have to import rice,"" Duterte said.



He said shrinking farmland and a growing population made it difficult to produce enough rice to meet domestic needs.



In April, Duterte ordered the National Food Authority (NFA) to build up its depleted rice stockpiles to the equivalent of 60 days of national consumption, or about 1.92 million tonnes.



The NFA has so far bought 500,000 tonnes mostly from Vietnam and Thailand and is set to import an additional volume of up to 805,200 tonnes.



Duterte said on Wednesday he wants NFA warehouses to be filled ""up to the ceiling"" with rice.



""I do not care if we have to sell it at a lower price someday if there's a glut in the market,"" he said.



Retail rice prices in the Philippines have risen steadily since the start of the year due to the absence of government-subsidized supply in the market. This has fed inflation which hit its highest level in at least five years in May.



abs-cbn",http://www.blackseagrain.net/foto/grain-cereals/rice.png/image_large,
https://innovation.ox.ac.uk,Oxford University Innovation,,,"Prolific plants $1.2m seed to take on Amazon’s online research market Aiming to become researchers' preferred tool for online sampling.

Prolific plants $1.2m seed to take on Amazon’s online research market Aiming to become researchers' preferred tool for online sampling.",https://innovation.ox.ac.uk/favicon.ico,
http://www.blackseagrain.net/novosti/south-koreas-may-ethanol-imports-fall-5-on-month-to-29-020-mt,"South Korea's May ethanol imports fall 5% on month to 29,020 mt",,,"South Korea's total ethanol imports fell 4.89% month on month to 29,020 mt in May, data released Thursday by the Korea Customs Service showed. Ethanol imports in May were, however, 0.20% or 58.42 mt higher year on year.



The import volume of undenatured ethanol fell 27.01% month on month to 9,711 mt in May. Australia was the biggest supplier of undenatured ethanol during the month, accounting for 41.63%, and Pakistan followed at 27.59%. Cambodia was in third place, exporting 24.59% to South Korea.



There were almost no imports from Brazil in May, as it was the intercrop season in the country. The first cargoes from the new crop in Brazil will arrive in Northeast Asia in the third quarter, market sources said.



Australia has been the biggest supplier of undenatured ethanol to South Korea so far this year, accounting for 47.37% of the total 55,905 mt of undenatured ethanol imported by South Korea since January 2018.



Cambodia was the second largest supplier, with 23.60% and Pakistan was a close third at 20.57%.



As for denatured ethanol, South Korea's imports rose 12.22% month on month to 19,309 mt in May, of which 88.21% came from the US.



On the export front, South Korea's total ethanol outflow rose more than 2.5 times month on month to 4,023 mt in May.



Japan remains the biggest export destination for undenatured ethanol in May at 4,022 mt, accounting for almost 100% of South Korea's ethanol exports.



The total denatured ethanol export was only 1 mt in May, down from 17 mt in April.



platts",http://www.blackseagrain.net/foto/bioghaz.jpg/image_large,
https://revistadelogistica.com,Revista de Logística – Revista de Logística,,,El 11 de septiembre de 2001 fue un punto de quiebre en materia de seguridad a lo largo de la ...,https://revistadelogistica.com/wp-content/uploads/2019/05/Asset-1-1.png,
http://www.blackseagrain.net/novosti/iran-tenders-again-to-buy-60-000-tonnes-of-sugar,"Iran tenders again to buy 60,000 tonnes of sugar",,,When using the materials - a reference to the BlackSeaGrain site is required. When using information on the Internet - a hyperlink to the site blackseagrain.net is required. Reproduction and distribution of published information in any form by any means is prohibited without prior written consent of the copyright holder. Administration of this site may not share the opinion of the author and is not responsible for any copyright material.,http://www.blackseagrain.net/foto/sugar/image_large,
https://www.9news.com.au,Latest news and headlines from Australia and the world,,,Brexit: The day arrives for the UK to leave the EU 21 minutes ago,https://www.9news.com.au/assets/img/9news-image-background.96245abf.jpg,
http://www.blackseagrain.net/novosti/indonesia-ups-use-of-corn-hybrid-seed,Indonesia ups use of corn hybrid seed,,,"Indonesia’s Ministry of Agriculture is aiming for the country’s corn production to reach 33.13 million tonnes in 2025. This is a 40.5% increase from 2016’s production. To achieve this target, the ministry through its Agriculture Research and Development Agency will provide 40% (16,000 tonnes) of the total hybrid seeds needed. Mohammad Ismail Wahab, Head of the agency said the use of hybrid seed is a must in order to increase corn productivity. “Currently the use of hybrid seed is still low.

Around 44% or 1.95 million ha still uses composite seed,” he said. “The productivity of composite seed is only around 3.32-5.31 tonnes/ha while hybrid seed can reach 8.2-10.31 tonnes/ha.” The agency has successfully developed 29 varieties of hybrid corn, with some varieties developed for dry land.",http://www.blackseagrain.net/foto/grain-cereals/corn.jpg/image_large,
https://www.9news.com,"Denver's Leading Local News: Weather, Traffic, Sports and more",,,"A closer look at the Colorado city that’s home of one of 2020’s ‘hottest neighborhoods to watch’

A closer look at the Colorado city that’s home of one of 2020’s ‘hottest neighborhoods to watch’",https://www.9news.com/content/favicon/KUSA.png?version=3.22.6,
