titulo,url,autor,contenido
The eSkeletons Project,https://www.merlot.org/merlot/viewMaterial.htm?id=90727,,"This interactive site allows participants to learn about skeletal anatomy by viewing the bones of a human, chimpanzee, and baboon. Users select a bone from the list of four bone types on the skeletal image, and launch the bone viewer. A detailed look at each bone from six viewing angle options is provided along with the option to select another bone or make a comparison with another species (chimpanzee or baboon). The Comparative Anatomy section enables users to make direct comparisons of bones. The material is appropriate for science teacher education as it illustrates how careful observation leads one to wonder about the dizzying beauty of a planet that works by bringing us one different creature after another."
MacTutor History of Mathematics Archive,https://www.merlot.org/merlot/viewMaterial.htm?id=89142,"Dr. John O'Connor, University of St. Andrews, Scotland","An award-winning site concerning the history of mathematics. In-depth coverage of numerous people, topics, mathematical curves, and more. Extensively cross-linked; powerful search engine. Rich and growing source of materials."
Music Acoustics,https://www.merlot.org/merlot/viewMaterial.htm?id=81883,"Joe Wolfe,","The acoustics of musical instruments and the voice. The """
Fibonacci Numbers and the Golden Section,https://www.merlot.org/merlot/viewMaterial.htm?id=89324,"Dr. Ron Knott, University of Surrey, Guildford, Surrey, UK","This excellent site contains a large and interesting selection of material on Fibonacci Numbers and their myriad related concepts. It includes web and text references to the rich literature of Fibonacci numbers. It also features a variety of images, graphics and animations. Many of the topics include student investigations for NCTM standard type explorations. The content includes standard motivational examples and applications in nature, but also mathematical explanations and puzzle pages. The site has already won several awards."
Larry Green's Applet Page,https://www.merlot.org/merlot/viewMaterial.htm?id=77279,"Larry Green, Lake Tahoe Community College","Contains dozens of interactive tutorials and discovery exercises for beginning, intermediate, and college algebra."
LangMedia Foreign Language Media Archive,https://www.merlot.org/merlot/viewMaterial.htm?id=76168,"Lang Media, Five Colleges","This site presents information on culture and language in different regions of the world as well as videos and audio taken from the authentic regions. Transcripts in English and the target languages are included. The MERLOT World Languages Editorial Board chose LangMedia for its 2005 Classics Award. The MERLOT Editor's Council subsequently selected it as an Editors' Choice recipient. LangMedia provides access to authentic materials that can be used in a wide variety of pedagogical settings. It features less commonly taught languages from Bangla to Wolof, as well as excellent materials in French, Spanish and other more commonly taught languages. It has a learner-centered design and appeals to a variety of learning styles. With its strong cultural content and English transcripts, LangMedia..."
Ideal Gas Law Simulation,https://www.merlot.org/merlot/viewMaterial.htm?id=88586,"John Gelder,",An effective tool to help students learn about all aspects of the ideal gas law. One of the best web gas law simulations.
Guide to Grammar and Writing,https://www.merlot.org/merlot/viewMaterial.htm?id=80266,"Charles Darling, Capitol Community College","Full of great tutorials, this website provides everything from the basic parts of speech all the way to writing the Argumentative essay and using proper MLA format. This site also contains excellent powerpoints for teaching grammar (especially when it comes to teaching the comma)."
FAST (Free Assessment Summary Tool),https://www.merlot.org/merlot/viewMaterial.htm?id=78014,"Bruce D. Ravelli, Mount Royal College, Canada",This is a powerful--and free!--program that faculty can use for developing instruments to evaluate their courses. The program is especially useful for student evaluations of instructor and for formative and summative evaluations of the course.
Crisis at Fort Sumter,https://www.merlot.org/merlot/viewMaterial.htm?id=79032,"Richard B. Latner, Tulane University","""Crisis at Fort Sumter"" is an interactive historical simulation and decision making program. Using text, images, and sound, it reconstructs the dilemmas of policy formation and decision making in the period between Abraham Lincoln's election in November 1860 and the battle of Fort Sumter in April 1861. The program primarily focuses on Lincoln, both as President-elect and as President. Viewers place themselves in Lincoln's position, consider the events that transpire, and choose a course of action at five critical junctures, called ""problems."" At each of these five junctures, Lincoln made a decision that helped determine the outcome of the crisis at Fort Sumter. In order to assess each problem and make a decision, advice is available from official advisors, such as cabinet members, and from..."
The Martha Ballard Case Study: A Midwife's Tale,https://www.merlot.org/merlot/viewMaterial.htm?id=91376,"Film Study Center, Harvard University","Based on a case of a tragic assassination of character in an 18th century New England town, this interactive site seeks to teach students how historians must piece fragmentray evidence together to reconstruct past events. It has them browse diaries, newspapers, and town records to decide for themselves what happened and with what justification."
The Auscultation Assistant,https://www.merlot.org/merlot/viewMaterial.htm?id=91342,"Christopher Cable, MD, UCLA","This provides text description and audio examples of various heart and breath sounds. The sounds are broken up into certain catagories. The heart sounds are divided into systolic, where you can hear aortic stenosis, mitral regurgitation, etc.., and diastolic, where you can hear mitral stenosis, aortic regurgitation, etc.. The lung sounds provide examples of cackles and wheezes."
Water on the Web,https://www.merlot.org/merlot/viewMaterial.htm?id=88008,"Bruce Munson,","WOW lessons are designed for infusion into the existing science curriculums for college freshmen and advanced high school students. The lessons use the aquatic environment and real lake data to explore basic science concepts through two different approaches: a directed study (""Studying"") and an inquiry (""Investigating"") approach. The directed studies allow students to apply and learn concepts through direct, guided experience. The inquiry lessons provide a more open-ended opportunity for students to discover the same concepts. This module was selected as the 2005 Classics Award Winner of the Biology Discipline because it allows students to analyze real environmental data collected in several lakes over long periods of time. In addition the site provides sound pedagogical tools to help the..."
WebElements,https://www.merlot.org/merlot/viewMaterial.htm?id=74295,"Mark Winter, WebElements Ltd",All you want to know about each element. a fourbar linkage
The Vikings. The North Atlantic Saga,https://www.merlot.org/merlot/viewMaterial.htm?id=87784,"Arctic Studies Center, Smithsonian Institution",This website has been produced by the Smithsonian Institution to highlight a major new exhibit on Viking exploration of the North Atlantic prepared for the millenary commemoration of Lief Eriksson’s Vinland landing. But it provides a broad overview of the Vikings and their great expansion across northen Europe and the Atlantic during the 9th and 10th centuries with an eye toward revising the common perception of Vikings as barbarian despoilers.
"Who Killed William Robinson? Race, Justice and Settling the Land: A Historical Whodunnit",https://www.merlot.org/merlot/viewMaterial.htm?id=87799,"Great Unsolved Mysteries in Canadian History Team, University of Victoria, British Columbia, Canada","This site includes a complete collection of historical documents and images related to a famous murder case in British Columbia. When three Black men are murdered in the space of 18 months around 1868 on bucolic Salt Spring Island, alarm bells go off. Who is killing the Blacks of Salt Spring? A year later an aboriginal man was charged, tried and hanged in short order for one of the murders, that of William Robinson. But did he really do it? Visitors can look at the collection of archival materials and develop their critical thinking skills by analyzing the evidence provided. Students are encouraged to come up with their own interpretations of primary documents, rather than relying on other peoples analyses. Educators have access to a Teachers' Guide and experts interpretations of the..."
The Valley of the Shadow,https://www.merlot.org/merlot/viewMaterial.htm?id=91375,"Edward Ayers, Institute for Advanced Technology in the Humanities, University of Virgina",An interactive site that has students browse reproductions of records and documents pertaining to two similar towns in Pennsylvania and Virginia just before and during the Civil War to determine for themselves how the issues of the day and events of everyday life. affected ordinary people
The Paper Project,https://www.merlot.org/merlot/viewMaterial.htm?id=83964,"Charles Kazilek,","This module was selected as the 2005 Classics Award Winner by the MERLOT Teacher Education Editorial Board for its innovative and best practices approach to cross-curricular investigation, discovery, and reflection for K-university learners. Since 1998, the Paper Project has been exploring the structure and beauty of paper. The project chronicles handmade and mouldmade paper through images produced by scanning electron microscopy and a scanning-laser confocal microscope. The content blends the world of art and science. Teaching standards addressed include K-8 visual arts, technology, and science. It reveals how science, art, and technology are entwined and would be appropriate material for cross-disciplinary integrated teaching by faculty who team teach at the middle school level. The..."
Physlet Physics 3e,https://www.merlot.org/merlot/viewMaterial.htm?id=75000,"Mario Belloni, Davidson College","Simulation-based physics educational resources for introductory courses. Topics covered include mechanics, E&M, Fluids, Waves, Thermodynamics, Optics. The student-driven activities are divided into Illustrations, giving an introduction to the topic, Explorations, allowing students to investigate the physics, and Problems, that test the quantitative understanding of the students."
StatCrunch,https://www.merlot.org/merlot/viewMaterial.htm?id=74665,Webster West,"The package was created to solve many of the problems which exist with the delivery and use of modern statistical software. Many times statisticians develop procedures in languages such as Splus, SAS, Minitab, etc.., which are very specific to statisticians. Students and other potential users may not have access to these languages, and therefore may not be able to use the procedures. By using Java and the World Wide Web, StatCrunch should reach the broadest possible audience of any statistical software of its kind. StatCrunch was chosen as the 2005 Classics Award winner for the Statistics discipline for several reasons. StatCrunch allows any student with internet access the ability to have a reasonably full featured statistical analysis program for minimal cost. This means that students who..."
Scholarly vs. Popular Periodicals,https://www.merlot.org/merlot/viewMaterial.htm?id=334778,"Eli Moody, Vanderbilt University","A video presentation on how to distinguish between scholarly and popular journals and magazines.  The author acknowledges that Melinda Brown, Sharon Weiner, Patricia Armstrong and Leslie Foutch, all part of the Heard Library at Vanderbilt, provided editorial support for this tutorial."
Civilisation Française,https://www.merlot.org/merlot/viewMaterial.htm?id=88304,"Marie Ponterio, SUNY Cortland","Pedagogical activities on a wide variety of topics in French civilization.Modules including audio, video interviews with native speakers, exercises, dialogues and many external links. Authentic presentation of culture through photographs."
What's Asthma All About?,https://www.merlot.org/merlot/viewMaterial.htm?id=77538,"Rajeev Venkayya, MD, Neomedicus",A website that links to information and products used to treat asthma.  The site as seen in October 2010 is no longer the website that was originally peer reviewed. 
The Biology Project: Cell Biology,https://www.merlot.org/merlot/viewMaterial.htm?id=91401,"Bill Grimes, University of Arizona","Tutorials and interactive quizzes covering cells, mitosis, meiosis, the cell cycle, prokaryotes, eukaryotes, & viruses. Part of"
Think Cultural Health: Bridging the Gap Through Cultural Competency Continuing Education,https://www.merlot.org/merlot/viewMaterial.htm?id=347384,Office of Minority Health,"This learning resource, provided by the Department of Health and Human Services, provides three nursing case studies. According to the web site the ""Culturally Competent Nursing Modules (CCNMs) are a case-based curriculum designed to help nurses better meet the cultural and linguistic needs of an increasingly diverse patient population. The Office of Minority Health (OMH) is supporting the development of these modules as part of their mission to 'improve the health of racial and ethnic minority populations through the development of effective health policies and programs that help to eliminate disparities in health.'"" The three courses are: (1) Course I: Delivering Culturally Competent Nursing Care; (2) Using Language Access Service; and (3) Supporting Advocacy for Cultually Competent..."
